1,Pepper,1,6,9.90,10.99
2,Zucchini,1,3,5.94,8.99
3,Cod,3,9,7.92,12.99
4,Sprouts,4,3,7.92,8.99
5,Flour,2,8,4.95,6.99
6,Oranges,1,2,6.93,10.99
7,Octopus,5,4,4.95,7.99
8,Rootbeer,9,11,8.91,10.99
9,Water,4,12,4.95,7.99
10,Hummus,2,5,8.91,10.99
11,Lamb,3,1,9.90,13.99
12,Soup,10,7,8.91,12.99
13,Cake,12,4,6.93,7.99
14,Onions,11,7,4.95,9.99
15,Wine,4,11,5.94,8.99
16,Vodka,4,1,4.95,5.99
17,Tarragon,7,1,7.92,9.99
18,Lobster,9,4,8.91,13.99
19,Lemonade,6,1,4.95,6.99
20,Cheez It,10,2,6.93,9.99
21,Sherry,6,5,5.94,7.99
22,Sparkling Wine,1,2,8.91,12.99
23,Cilantro,10,3,5.94,10.99
24,Spinach,6,8,4.95,6.99
25,Potatoes,10,1,4.95,8.99
26,Beets,9,5,7.92,8.99
27,Tea,12,4,8.91,12.99
28,Pork,4,1,4.95,5.99
29,Filo Dough,8,4,8.91,11.99
30,Cookie Dough,2,2,8.91,10.99
31,White Baguette,8,8,6.93,9.99
32,Bag,9,5,6.93,10.99
33,Cookies,1,2,8.91,12.99
34,Sauerkraut,6,3,9.90,11.99
35,Snapple Raspberry Tea,5,10,8.91,11.99
36,Pastry,4,12,7.92,10.99
37,Salmon,7,10,8.91,10.99
38,Capon,1,4,7.92,11.99
39,Yogurt,3,1,8.91,12.99
40,Sesame Seeds,7,8,5.94,8.99
41,Allspice,5,11,6.93,10.99
42,Lemon Pepper,11,10,5.94,7.99
43,Juice,11,3,4.95,6.99
44,Muffin,11,4,8.91,11.99
45,Chilli Paste,12,5,6.93,8.99
46,Maple Syrup,4,3,4.95,8.99
47,Milk,9,8,6.93,9.99
48,Goat,1,9,7.92,11.99
49,Bay Leaf,3,6,9.90,11.99
50,Chocolate Liqueur,4,4,7.92,12.99
51,Mushroom,9,10,6.93,9.99
52,Apricots,4,9,4.95,8.99
53,Garlic,9,9,4.95,5.99
54,Shortbread,12,2,7.92,10.99
55,Shrimp,10,4,8.91,11.99
56,Ice Cream Bar,8,3,5.94,8.99
57,Chips,11,6,8.91,10.99
58,Salt And Pepper,9,11,6.93,11.99
59,Syrup,7,12,7.92,11.99
60,Bread,1,6,5.94,7.99
61,Lettuce,5,6,9.90,12.99
62,Bonito Flakes,8,4,6.93,10.99
63,Lentils,2,12,7.92,11.99
64,Peas,3,3,8.91,10.99
65,Horseradish,6,2,5.94,6.99
66,Crab,2,4,8.91,13.99
67,Gatorade,5,6,8.91,11.99
68,Jam,12,10,7.92,9.99
69,Quail,4,6,9.90,14.99
70,Wheat,3,2,4.95,5.99
71,Scallops,6,2,7.92,11.99
72,Tomatoes,2,11,6.93,8.99
73,Olives,3,2,7.92,8.99
74,Bouillion,9,2,5.94,10.99
75,Rosemary,10,3,9.90,13.99
76,Thyme,8,10,9.90,14.99
77,Honey,5,10,5.94,10.99
78,Asparagus,10,8,8.91,11.99
79,Sugar,9,5,8.91,11.99
80,Sausage,5,4,6.93,10.99
81,Venison,1,10,8.91,13.99
82,Salami,11,3,6.93,10.99
83,Raspberries,12,4,5.94,9.99
84,Carrots,12,8,5.94,10.99
85,Arizona Tea,2,5,5.94,6.99
86,Crackers,10,7,5.94,8.99
87,Cream,3,9,8.91,12.99
88,Chutney Sauce,1,9,9.90,11.99
89,Gingerale,5,12,7.92,11.99
90,Dried Figs,8,6,4.95,8.99
91,Beans,1,12,9.90,12.99
92,Guava,9,9,7.92,9.99
93,Curry Powder,1,8,7.92,10.99
94,Rice,2,9,6.93,9.99
95,Bacardi Limon,9,8,5.94,6.99
96,Country Roll,1,8,5.94,6.99
97,Coke,11,6,4.95,5.99
98,Black Currants,5,2,8.91,10.99
99,Mustard,7,6,6.93,10.99
100,Eggroll,9,12,6.93,7.99
101,Onion Powder,3,2,8.91,9.99
102,Turkey,3,9,7.92,11.99
103,Breadfruit,5,3,6.93,8.99
104,Tomato Paste,1,9,4.95,5.99
105,Vinegar,2,9,7.92,8.99
106,Daikon Radish,10,3,5.94,8.99
107,Squid,5,7,7.92,11.99
108,Samosa,4,10,5.94,8.99
109,Bacardi Raspberry,1,4,8.91,12.99
110,Iced Tea,9,11,6.93,10.99
111,Trout,3,10,4.95,7.99
112,Banana,8,10,9.90,14.99
113,Halibut,1,10,9.90,10.99
114,Ham,4,8,5.94,7.99
115,Blackberries,12,6,7.92,9.99
116,Canada Dry,10,6,7.92,12.99
117,Cumin,7,4,7.92,11.99
118,Yams,12,2,4.95,9.99
119,Poppy Seed,7,2,9.90,11.99
120,Chocolate Bar,5,6,8.91,12.99
121,Fruit Mix,9,7,8.91,11.99
122,Eggplant,3,2,8.91,10.99
123,Parsley,4,1,8.91,11.99
124,Mangoes,5,8,9.90,11.99
125,Vanilla Beans,12,2,8.91,9.99
126,Jack Daniels,1,7,5.94,9.99
127,Cocoa Powder,12,8,8.91,9.99
128,Kumquat,2,4,6.93,9.99
129,Smoked Paprika,12,9,9.90,13.99
130,Vol Au Vents,12,11,4.95,7.99
131,Ice Cream,11,4,9.90,13.99
132,Clams,4,10,5.94,8.99
133,Fireball Whisky,11,8,4.95,6.99
134,Chicken Breast,11,5,9.90,14.99
135,Duck,8,4,7.92,11.99
136,Bols Melon Liqueur,4,2,9.90,12.99
137,Coconut,11,2,6.93,9.99
138,Assorted Desserts,7,5,8.91,11.99
139,Tuna,9,7,6.93,10.99
140,Chocolate,8,5,5.94,9.99
141,Swiss Chard,8,5,6.93,10.99
142,Nut,8,12,9.90,14.99
143,Kahlua,6,9,7.92,9.99
144,Mayonnaise,1,10,9.90,10.99
145,Water Chestnut,7,10,8.91,10.99
146,Sunflower Seeds,9,3,4.95,7.99
147,Melon,12,3,5.94,8.99
148,Tequila,12,5,4.95,9.99
149,Cloves,5,7,9.90,14.99
150,Rabbit,9,8,5.94,6.99
151,Radish,1,7,9.90,13.99
152,Kellogs Special K Cereal,6,4,6.93,11.99
153,Strawberries,7,2,5.94,9.99
154,Rum,1,1,6.93,11.99
155,Sage,7,5,4.95,8.99
156,Squash,3,8,4.95,9.99
157,Dragon Fruit,2,12,7.92,11.99
158,Dr. Pepper,2,4,5.94,6.99
159,Bagel,6,8,9.90,12.99
160,Chervil,8,7,8.91,9.99
161,Tortillas,4,6,7.92,9.99
162,Kohlrabi,10,5,6.93,10.99
163,Hot Chocolate,8,6,5.94,6.99
164,Calypso,2,1,8.91,12.99
165,Beef,11,10,6.93,9.99
166,Cream Of Tartar,12,12,6.93,7.99
167,Spoon,3,10,4.95,5.99
168,Corn,5,4,5.94,8.99
169,Yukon Jack,7,7,6.93,11.99
170,Puff Pastry,11,10,5.94,9.99
171,Leeks,11,7,4.95,8.99
172,Cherries,9,4,4.95,5.99
173,Relish,9,9,7.92,12.99
174,Chives,2,5,6.93,8.99
175,Oil,1,12,7.92,12.99
176,Pasta,5,2,4.95,5.99
177,Sea Bass,9,7,6.93,9.99
178,Truffle,6,12,8.91,9.99
179,Pears,8,5,4.95,5.99
180,Tobasco Sauce,8,10,9.90,12.99
181,Breakfast Quesadillas,5,12,5.94,9.99
182,Puree,8,3,9.90,12.99
183,Veal,12,3,6.93,8.99
184,Bandage,9,6,9.90,13.99
185,Cheese,1,11,8.91,13.99
186,Nacho Chips,6,11,6.93,11.99
187,Whole Chicken,5,9,7.92,11.99
188,Pineapple,4,10,5.94,7.99
189,Beer,10,8,4.95,7.99
190,Chicken Thigh,6,11,7.92,12.99
191,Ginger,7,3,6.93,11.99
192,Spice,5,9,5.94,6.99
193,Brandy,2,10,9.90,14.99
194,Sauce,10,12,7.92,8.99
195,Tofu,10,11,6.93,10.99
196,Cabbage,4,6,7.92,11.99
197,Coffee,10,9,4.95,8.99
198,Basil,9,7,9.90,14.99
199,Okra,3,3,6.93,11.99
200,Flounder,6,9,5.94,9.99
